,country,variable,1998-2002,2003-2007,2008-2012,2013-2017
1930,Tajikistan,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4252,0.383,0.382,0.3573
1931,Tajikistan,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1836.809962511,1627.5426637397,1459.6877267905,1294.4203936188
1932,Tajikistan,Total population with access to safe drinking-water (JMP) (%),61.5,66.6,71.7,73.8
1933,Tajikistan,Rural population with access to safe drinking-water (JMP) (%),50.5,57.2,64.0,66.7
1934,Tajikistan,Urban population with access to safe drinking-water (JMP) (%),92.4,92.7,93.0,93.1
1936,Thailand,Rural population (1000 inhab),42458.762,39750.794,37012.171,35071.057
1937,Thailand,Urban population (1000 inhab),21614.402,26444.821,30831.808,33966.456
1938,Thailand,Population density (inhab/km2),124.8618003586,128.9797065014,132.2029193951,134.8803593701
1939,Thailand,GDP per capita (current US$/inhab),2096.055431,3972.206958,5859.89206,6594.608057
1940,Thailand,Human Development Index (HDI) [highest = 1] (-),0.665,0.71,0.733,0.762
1941,Thailand,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.4368,0.3946,0.369,0.3796
1942,Thailand,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),,865.8841072462,844.7731602892,828.0040069464
1943,Thailand,Total population with access to safe drinking-water (JMP) (%),92.9,95.2,97.1,97.8
1944,Thailand,Rural population with access to safe drinking-water (JMP) (%),90.9,93.8,96.8,98.0
1945,Thailand,Urban population with access to safe drinking-water (JMP) (%),96.8,97.1,97.5,97.6
1958,Togo,Rural population (1000 inhab),3476.016,3831.357,4215.435,4588.034
1959,Togo,Urban population (1000 inhab),1775.456,2166.028,2644.047,3209.66
1960,Togo,Population density (inhab/km2),91.5131361155,104.2500264131,119.2782003874,135.5603803487
1961,Togo,GDP per capita (current US$/inhab),323.467149,443.375771,564.697109,593.975597
1962,Togo,Human Development Index (HDI) [highest = 1] (-),0.428,0.441,0.484,0.51
1963,Togo,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6154,0.5843333333,0.5881
1964,Togo,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),32.518566851,37.6666347429,32.9209164297,28.9667796501
1965,Togo,Total population with access to safe drinking-water (JMP) (%),54.8,57.9,61.1,63.1
1966,Togo,Rural population with access to safe drinking-water (JMP) (%),39.3,41.2,43.1,44.2
1967,Togo,Urban population with access to safe drinking-water (JMP) (%),85.1,87.5,89.9,91.4
1991,Trinidad and Tobago,Rural population (1000 inhab),568.249,594.531,621.549,640.679
1992,Trinidad and Tobago,Urban population (1000 inhab),709.588,714.729,720.039,728.446
1993,Trinidad and Tobago,Population density (inhab/km2),248.9693957115,255.0586744639,262.1479532164,269.7970760234
1994,Trinidad and Tobago,GDP per capita (current US$/inhab),7068.592881,16574.582127,19203.520412,16415.40548
1995,Trinidad and Tobago,Human Development Index (HDI) [highest = 1] (-),0.73,0.777,0.784,0.799
1996,Trinidad and Tobago,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3394,0.3223333333,0.3714
1997,Trinidad and Tobago,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),255.5564342048,273.4021628119,284.9454090104,276.8668098687
1998,Trinidad and Tobago,Total population with access to safe drinking-water (JMP) (%),93.6,94.5,95.1,95.1
1999,Trinidad and Tobago,Rural population with access to safe drinking-water (JMP) (%),93.6,94.5,95.1,95.1
2000,Trinidad and Tobago,Urban population with access to safe drinking-water (JMP) (%),93.6,94.5,95.1,95.1
2002,Tunisia,Rural population (1000 inhab),3531.202,3521.038,3568.906,3616.197
2003,Tunisia,Urban population (1000 inhab),6333.124,6777.049,7317.762,7915.93
2004,Tunisia,Population density (inhab/km2),60.3340321496,62.9834728929,66.2979157753,69.8822993705
2005,Tunisia,GDP per capita (current US$/inhab),2346.00236,3778.360077,4137.570216,3452.359126
2006,Tunisia,Human Development Index (HDI) [highest = 1] (-),0.666,0.701,0.721,0.738
2007,Tunisia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3175,0.27375,0.2404
2008,Tunisia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),293.3265499986,303.0648267601,328.8158946285,426.3807498756
2009,Tunisia,Total population with access to safe drinking-water (JMP) (%),91.1,94.1,96.9,97.7
2010,Tunisia,Rural population with access to safe drinking-water (JMP) (%),78.8,84.8,90.8,93.2
2011,Tunisia,Urban population with access to safe drinking-water (JMP) (%),98.0,99.0,100.0,100.0
2013,Turkey,Rural population (1000 inhab),22165.676,21537.953,20899.302,20473.563
2014,Turkey,Urban population (1000 inhab),42977.378,48059.328,53670.565,60271.457
2015,Turkey,Population density (inhab/km2),82.9507442542,88.5997937225,95.0544979945,103.2870057936
2016,Turkey,GDP per capita (current US$/inhab),3660.005677,9709.489709,11720.307702,10560.02154
2017,Turkey,Human Development Index (HDI) [highest = 1] (-),0.672,0.709,0.765,0.805
2018,Turkey,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.4788,0.38,0.3588
2019,Turkey,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),589.4970244008,564.3282138756,676.5879381469,726.9055783383
2020,Turkey,Total population with access to safe drinking-water (JMP) (%),93.8,96.9,99.5,100.0
2021,Turkey,Rural population with access to safe drinking-water (JMP) (%),87.0,92.5,98.1,100.0
2022,Turkey,Urban population with access to safe drinking-water (JMP) (%),97.4,98.9,100.0,100.0
2046,Uganda,Rural population (1000 inhab),21699.29,25115.006,28891.6,32920.646
2047,Uganda,Urban population (1000 inhab),4018.758,5475.481,7415.196,9942.312
2048,Uganda,Population density (inhab/km2),104.1906727386,122.0713641068,143.0706023598,170.4267770648
2049,Uganda,GDP per capita (current US$/inhab),288.232982,492.229335,673.309135,634.769133
2050,Uganda,Human Development Index (HDI) [highest = 1] (-),0.418,0.457,0.497,0.522
2051,Uganda,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6192,0.58,0.5375,0.5381
2052,Uganda,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),14.3658881856,20.0462894601,18.4324041781,15.4737137797
2053,Uganda,Total population with access to safe drinking-water (JMP) (%),59.6,67.7,75.8,79.0
2054,Uganda,Rural population with access to safe drinking-water (JMP) (%),55.8,64.1,72.5,75.8
2055,Uganda,Urban population with access to safe drinking-water (JMP) (%),86.8,90.4,94.1,95.5
2057,Ukraine,Rural population (1000 inhab),15697.688,14775.381,14157.02,13600.408
2058,Ukraine,Urban population (1000 inhab),32281.904,31610.974,31192.313,30622.539
2059,Ukraine,Population density (inhab/km2),79.4963780963,76.82272057,75.3107547014,73.7100637892
2060,Ukraine,GDP per capita (current US$/inhab),916.142922,3206.414071,3876.148163,2536.92565
2061,Ukraine,Human Development Index (HDI) [highest = 1] (-),0.689,0.729,0.742,0.747
2062,Ukraine,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.3546,0.3343333333,0.2864
2063,Ukraine,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),354.3640304252,323.2516475902,289.2387053353,206.3491289246
2064,Ukraine,Total population with access to safe drinking-water (JMP) (%),97.4,97.0,96.5,96.2
2065,Ukraine,Rural population with access to safe drinking-water (JMP) (%),93.7,95.2,96.8,97.8
2066,Ukraine,Urban population with access to safe drinking-water (JMP) (%),99.3,97.8,96.4,95.5
2068,United Arab Emirates,Rural population (1000 inhab),664.034,1026.131,1357.387,1292.709
2069,United Arab Emirates,Urban population (1000 inhab),2843.198,5017.936,7543.066,8107.436
2070,United Arab Emirates,Population density (inhab/km2),41.6121650718,73.7899282297,109.3492344498,133.584947902
2071,United Arab Emirates,GDP per capita (current US$/inhab),31720.544451,43230.270183,42086.695776,40180.344045
2072,United Arab Emirates,Human Development Index (HDI) [highest = 1] (-),0.793,0.819,0.832,0.864
2073,United Arab Emirates,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.6166,0.456,0.2406666667,0.2322
2074,United Arab Emirates,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),926.1971472541,648.0961244241,437.3415758036,421.409766398
2075,United Arab Emirates,Total population with access to safe drinking-water (JMP) (%),99.7,99.6,99.6,99.6
2076,United Arab Emirates,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
2077,United Arab Emirates,Urban population with access to safe drinking-water (JMP) (%),99.6,99.6,99.6,99.6
2079,United Kingdom,Rural population (1000 inhab),12435.493,11988.805,11669.597,11156.164
2080,United Kingdom,Urban population (1000 inhab),46913.46,49425.855,52580.733,55025.421
2081,United Kingdom,Population density (inhab/km2),243.5297976274,252.2686342925,264.8713599606,273.9110094003
2082,United Kingdom,GDP per capita (current US$/inhab),30066.436326,50493.777054,42099.202889,40286.571861
2083,United Kingdom,Human Development Index (HDI) [highest = 1] (-),0.874,0.892,0.897,0.919
2084,United Kingdom,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.2232,0.2084,0.1943333333,0.1774
2085,United Kingdom,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),234.8368499135,138.5237581832,127.2988807865,126.1849300695
2086,United Kingdom,Total population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
2087,United Kingdom,Rural population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
2088,United Kingdom,Urban population with access to safe drinking-water (JMP) (%),100.0,100.0,100.0,100.0
2090,United Republic of Tanzania,Rural population (1000 inhab),27785.622,30972.693,34606.978,38367.191
2091,United Republic of Tanzania,Urban population (1000 inhab),8320.186,10951.022,14476.019,18942.828
2092,United Republic of Tanzania,Population density (inhab/km2),37.3005257046,42.9445941096,49.6706745487,57.7011918083
2093,United Republic of Tanzania,GDP per capita (current US$/inhab),372.611276,534.339064,822.572401,954.877401
2094,United Republic of Tanzania,Human Development Index (HDI) [highest = 1] (-),0.412,0.461,0.501,0.522
2095,United Republic of Tanzania,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5734,0.554,0.5469
2096,United Republic of Tanzania,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),146.7109410703,127.4291989949,110.1735637429,94.8402460512
2097,United Republic of Tanzania,Total population with access to safe drinking-water (JMP) (%),54.4,54.9,55.4,55.6
2098,United Republic of Tanzania,Rural population with access to safe drinking-water (JMP) (%),45.4,45.4,45.5,45.5
2099,United Republic of Tanzania,Urban population with access to safe drinking-water (JMP) (%),84.7,81.8,78.9,77.2
2101,United States of America,Rural population (1000 inhab),59200.835,59309.491,59160.759,58215.947
2102,United States of America,Urban population (1000 inhab),228306.012,241285.684,254174.664,266243.516
2103,United States of America,Population density (inhab/km2),29.8254176949,31.2092496597,31.9425891852,33.0594442987
2104,United States of America,GDP per capita (current US$/inhab),38038.808864,48077.484943,51692.230789,60159.823417
2105,United States of America,Human Development Index (HDI) [highest = 1] (-),0.886,0.902,0.916,0.919
2106,United States of America,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.2868,0.2696666667,0.28
2107,United States of America,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1951.2577650995,1768.7461451721,1493.644749682,1366.6897379833
2108,United States of America,Total population with access to safe drinking-water (JMP) (%),98.9,99.0,99.1,99.2
2109,United States of America,Rural population with access to safe drinking-water (JMP) (%),96.2,97.1,98.0,98.2
2110,United States of America,Urban population with access to safe drinking-water (JMP) (%),99.6,99.5,99.4,99.4
2112,Uruguay,Rural population (1000 inhab),247.27,207.762,178.688,164.541
2113,Uruguay,Urban population (1000 inhab),3080.503,3131.979,3218.089,3292.209
2114,Uruguay,Population density (inhab/km2),18.8743615935,18.9067585972,19.1747531495,19.5019918284
2115,Uruguay,GDP per capita (current US$/inhab),4088.771652,7009.69532,15092.093698,17221.407798
2116,Uruguay,Human Development Index (HDI) [highest = 1] (-),0.747,0.763,0.788,0.807
2117,Uruguay,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.3962,0.3744,0.3616666667,0.3128
2118,Uruguay,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),1100.4076920302,1098.5221275672,1083.1687124054,1064.9934048974
2119,Uruguay,Total population with access to safe drinking-water (JMP) (%),97.3,98.4,99.3,99.7
2120,Uruguay,Rural population with access to safe drinking-water (JMP) (%),79.3,84.9,90.5,93.9
2121,Uruguay,Urban population with access to safe drinking-water (JMP) (%),98.7,99.2,99.8,100.0
2145,Venezuela (Bolivarian Republic of),Rural population (1000 inhab),3080.534,3321.466,3550.466,3778.814
2146,Venezuela (Bolivarian Republic of),Urban population (1000 inhab),22328.166,24370.499,26342.614,28198.251
2147,Venezuela (Bolivarian Republic of),Population density (inhab/km2),27.5208683734,29.8751274601,32.1921352996,32.2377983663
2148,Venezuela (Bolivarian Republic of),GDP per capita (current US$/inhab),3655.812536,8318.81122,12754.991815,7756.479109
2149,Venezuela (Bolivarian Republic of),Human Development Index (HDI) [highest = 1] (-),0.688,0.743,0.767,0.735
2150,Venezuela (Bolivarian Republic of),Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.472,0.4656666667,0.4759
2151,Venezuela (Bolivarian Republic of),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),519.2337909408,830.3957668214,770.6285757453,769.5370227903
2152,Venezuela (Bolivarian Republic of),Total population with access to safe drinking-water (JMP) (%),91.5,92.2,92.9,93.1
2153,Venezuela (Bolivarian Republic of),Rural population with access to safe drinking-water (JMP) (%),73.3,75.4,77.5,77.9
2154,Venezuela (Bolivarian Republic of),Urban population with access to safe drinking-water (JMP) (%),93.8,94.4,94.9,95.0
2156,Viet Nam,Rural population (1000 inhab),61048.895,61408.016,61731.739,61898.302
2157,Viet Nam,Urban population (1000 inhab),20907.601,24481.574,28720.142,33642.498
2158,Viet Nam,Population density (inhab/km2),247.5991709687,257.9016062317,271.3295041847,285.6041059083
2159,Viet Nam,GDP per capita (current US$/inhab),427.838026,901.324893,1722.683931,2342.244006
2160,Viet Nam,Human Development Index (HDI) [highest = 1] (-),0.594,0.632,0.668,0.69
2161,Viet Nam,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.3506,0.3308,0.3243333333,0.3078
2162,Viet Nam,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),930.9002517183,960.3183419598,913.4547960586,867.1187960573
2163,Viet Nam,Total population with access to safe drinking-water (JMP) (%),80.3,87.3,93.8,97.6
2164,Viet Nam,Rural population with access to safe drinking-water (JMP) (%),75.5,83.7,91.9,96.9
2165,Viet Nam,Urban population with access to safe drinking-water (JMP) (%),94.4,96.2,98.0,99.1
2167,Yemen,Rural population (1000 inhab),13751.457,15215.074,16700.108,18075.808
2168,Yemen,Urban population (1000 inhab),5167.722,6536.531,8209.861,10174.612
2169,Yemen,Population density (inhab/km2),34.9332177965,40.3100839063,46.3533496221,52.7204557077
2170,Yemen,GDP per capita (current US$/inhab),647.337193,1178.472796,1287.627793,854.926716
2171,Yemen,Human Development Index (HDI) [highest = 1] (-),0.456,0.486,0.501,0.463
2172,Yemen,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),0.7996,0.764,0.7363333333,0.744
2173,Yemen,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),187.9233392058,167.508398326,145.6696796795,128.0769959381
2174,Yemen,Total population with access to safe drinking-water (JMP) (%),58.5,55.0,54.9,54.9
2175,Yemen,Rural population with access to safe drinking-water (JMP) (%),50.5,47.2,46.5,46.5
2176,Yemen,Urban population with access to safe drinking-water (JMP) (%),79.9,73.3,72.0,72.0
2178,Zambia,Rural population (1000 inhab),7175.419,7905.217,8767.868,9747.709
2179,Zambia,Urban population (1000 inhab),3944.99,4820.757,5932.069,7346.421
2180,Zambia,Population density (inhab/km2),14.5781985358,16.6127981292,19.2199811323,22.3935358286
2181,Zambia,GDP per capita (current US$/inhab),377.129939,1104.582234,1690.361466,1513.27609
2182,Zambia,Human Development Index (HDI) [highest = 1] (-),0.445,0.492,0.552,0.589
2183,Zambia,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.6266,0.616,0.5868
2184,Zambia,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),143.277731487,125.7302471943,108.6749878155,93.2738461381
2185,Zambia,Total population with access to safe drinking-water (JMP) (%),54.7,59.0,63.0,65.4
2186,Zambia,Rural population with access to safe drinking-water (JMP) (%),36.9,42.5,48.0,51.3
2187,Zambia,Urban population with access to safe drinking-water (JMP) (%),87.1,86.5,85.9,85.6
2189,Zimbabwe,Rural population (1000 inhab),8177.189,8831.989,9880.721,11201.138
2190,Zimbabwe,Urban population (1000 inhab),4323.336,4497.92,4830.105,5328.766
2191,Zimbabwe,Population density (inhab/km2),30.5924096632,31.3643208107,33.5631845634,36.4330919234
2192,Zimbabwe,GDP per capita (current US$/inhab),657.209841,522.006175,1163.418688,1333.395663
2193,Zimbabwe,Human Development Index (HDI) [highest = 1] (-),0.444,0.434,0.516,0.553
2194,Zimbabwe,Gender Inequality Index (GII) [equality = 0; inequality = 1) (-),,0.5704,0.5313333333,0.504
2195,Zimbabwe,Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),351.7565660529,291.2877546055,263.8980492026,234.5434424453
2196,Zimbabwe,Total population with access to safe drinking-water (JMP) (%),79.4,78.4,77.5,76.9
2197,Zimbabwe,Rural population with access to safe drinking-water (JMP) (%),69.3,68.5,67.8,67.3
2198,Zimbabwe,Urban population with access to safe drinking-water (JMP) (%),98.4,97.8,97.3,97.0
